"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45009","Bamberg, SC","5","CA1","1","...","Personal income (thousands of dollars)",33578,37480,41431,44920,52573,58131,61278,65817,71605,78770,89539,94141,106237,112084,120174,135917,140720,146709,155627,168189,181404,188428,197945,213685,218595,231799,242134,252283,265565,278467,286690,293103,297705,307047,316034,341394,353032,374439,391978,413937,413872,425004,443143,438628,427391,448498,440771,454045
"45009","Bamberg, SC","5","CA1","2","...","Population (persons) 1/",16197,15813,15588,16051,16623,16929,17450,17701,17938,17872,18082,18117,18058,17965,17885,18054,17846,17658,17393,17149,17158,16883,17022,17040,17008,16944,17012,16967,16895,16801,16674,16680,16580,16548,16342,16322,16360,16392,16226,16104,16022,15971,15826,15708,15392,15120,14631,14434
"45009","Bamberg, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2073,2370,2658,2799,3163,3434,3512,3718,3992,4407,4952,5196,5883,6239,6719,7528,7885,8308,8948,9808,10573,11161,11629,12540,12852,13680,14233,14869,15719,16574,17194,17572,17956,18555,19339,20916,21579,22843,24157,25704,25831,26611,28001,27924,27767,29663,30126,31457
"45011","Barnwell, SC","5","CA1","1","...","Personal income (thousands of dollars)",43527,47583,51806,57786,67355,95826,86385,85761,95701,109345,123386,131078,146765,154236,168715,191711,205212,214676,214123,242857,271279,286688,302893,352874,374679,401742,415248,420532,459168,524914,536196,518411,443831,448758,469964,489550,514089,527100,547510,583139,587962,584734,600498,587782,583444,595798,604435,611352
"45011","Barnwell, SC","5","CA1","2","...","Population (persons) 1/",17497,17173,17331,17793,18383,18985,19725,19294,19491,20072,20478,19880,19864,19731,19647,19770,19961,20160,20006,19973,20020,20419,20870,21428,21789,22158,22353,22588,23046,23266,23377,23478,23406,23177,23211,22980,22965,22886,22851,22761,22611,22610,22412,22295,22144,21959,21706,21483
"45011","Barnwell, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2488,2771,2989,3248,3664,5047,4379,4445,4910,5448,6025,6593,7388,7817,8587,9697,10281,10649,10703,12159,13550,14040,14513,16468,17196,18131,18577,18617,19924,22561,22937,22081,18962,19362,20247,21303,22386,23032,23960,25620,26003,25862,26794,26364,26348,27132,27846,28457
"45013","Beaufort, SC","5","CA1","1","...","Personal income (thousands of dollars)",211193,237826,237686,288291,320578,345141,380143,452676,491430,545102,613448,699463,848342,897120,947033,1099223,1210394,1324044,1401937,1509088,1659139,1837618,1911097,2112423,2249633,2484010,2666256,2927932,3249012,3585022,3832684,4104403,4342607,4470195,4740012,5274238,5739579,6438859,6888657,7096259,6834022,6604599,7064529,7472169,7680171,8349680,8973640,9171747
"45013","Beaufort, SC","5","CA1","2","...","Population (persons) 1/",52890,51307,53157,57192,56214,53706,62123,65097,62771,64244,65577,66106,68857,71141,72968,75588,77295,79190,81058,83096,84629,87222,90010,93241,97044,100901,104703,108882,112318,115995,117975,122306,125550,129290,130998,136331,141498,147213,151411,156399,159737,162924,163958,167460,171010,175178,179782,183149
"45013","Beaufort, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",3993,4635,4471,5041,5703,6426,6119,6954,7829,8485,9355,10581,12320,12610,12979,14542,15659,16720,17295,18161,19605,21068,21232,22656,23182,24618,25465,26891,28927,30907,32487,33558,34589,34575,36184,38687,40563,43738,45496,45373,42783,40538,43087,44621,44911,47664,49914,50078
"45015","Berkeley, SC","5","CA1","1","...","Personal income (thousands of dollars)",149095,171856,196457,223662,257848,304521,353976,416474,470398,538890,625530,715565,810007,895018,998116,1127745,1207577,1318439,1434243,1574780,1744919,1897113,1974706,2049966,2101370,2128836,2106974,2109266,2291200,2491892,2723523,2998117,3139819,3326219,3481016,3711146,3978755,4408141,4776150,5090739,4914242,5266419,5771067,6028785,6189378,6632004,7080123,7522100
"45015","Berkeley, SC","5","CA1","2","...","Population (persons) 1/",54689,56375,58699,61013,63410,65712,72171,79113,81579,86631,91022,95729,99356,103027,105861,111473,114451,117802,122046,124600,126856,129373,132855,135130,136735,138141,134165,131130,133195,136631,141956,143410,145153,146733,148035,151789,153489,159501,164913,171099,175092,178941,183701,189560,193925,198248,202776,210898
